Price,Year,Mileage_in_KM,Transmission,City,Fuel_Type,Title
3800000,2026,0,Automatic,Mercedes,Gas,Mercedes C 180 2026
1475000,2025,0,Automatic,Mitsubishi Eclipse Cross,Gas,Mitsubishi Eclipse Cross 2025
2550000,2022,43000,Automatic,"Heliopolis, Cairo",Gas,Mercedes C 180 2022
4100000,2025,0,Automatic,Land Rover,Gas,Land Rover Range Rover Evoque 2025
4200000,2026,0,Automatic,Mercedes,Gas,Mercedes C 200 2026
3100000,2022,60000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Mercedes C 200 2022
1190000,2013,140000,Automatic,"Heliopolis, Cairo",Gas,Mercedes C 180 2013
775000,2026,0,Automatic,Nissan,Gas,Nissan Sunny 2026
590000,2021,114000,Automatic,Cairo,Gas,Hyundai Accent RB 2021
425000,2015,100000,Automatic,Cairo,Gas,Nissan Sunny 2015
2600000,2023,35000,Automatic,El Minya,Diesel,Mercedes GLA 200 2023
1550000,2025,24000,Automatic,"Madinaty, Cairo",Gas,Skoda Octavia 2025
3100000,2026,7000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,BMW X1 2026
770000,2016,79000,Automatic,"Warraq, Giza",Gas,Kia Cerato 2016
390000,2019,245000,Automatic,"Al Rehab, Tagamo3 - New Cairo, Cairo",Gas,Renault Logan 2019
48000,2000,77000,Manual,"Tagamo3 - New Cairo, Cairo",Diesel,Lada Oka 2000
575000,2020,149000,Automatic,5th Settlement,Gas,Peugeot 301 2020
515000,2015,115000,Automatic,"Masr Al Jadidah, Cairo",Gas,Chevrolet Cruze 2015
630000,2025,80000,Automatic,"El Haram, Giza",Gas,Nissan Sunny 2025
510000,2015,270000,Automatic,"Heliopolis, Cairo",Gas,Opel Astra 2015
800000,2015,150000,Automatic,"Nasr city, Cairo",Gas,Mini Cooper 2015
1980000,2020,148000,Automatic,"Nasr city, Cairo",Gas,Mercedes C 180 2020
170000,2013,300000,Manual,"10th of Ramadan, Cairo",Natural Gas,Chevrolet Lanos 2013
440000,2014,160000,Automatic,Cairo,Gas,Chevrolet Cruze 2014
2100000,2025,0,Automatic,Mercedes,Electric,Mercedes EQA 260 2025
2100000,2025,0,Automatic,Mercedes,Electric,Mercedes EQA 260 2025
1650000,2025,0,Automatic,Mitsubishi,Gas,Mitsubishi Eclipse 2025
6750000,2022,19000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Porsche Cayenne 2022
620000,2017,138000,Automatic,"Heliopolis, Cairo",Gas,Opel Astra 2017
440000,2016,230000,Automatic,El Mansoura,Diesel,Peugeot 301 2016
1000000,2021,70000,Automatic,"Sheikh Zayed City, Giza",Natural Gas,Fiat 500 2021
470000,2008,280000,Automatic,"6 October, Giza",Gas,Mercedes B 150 2008
840000,2019,125000,Automatic,"Nasr city, Cairo",Gas,Hyundai Elantra 2019
900000,2019,220000,Automatic,"Sheikh Zayed City, Giza",Gas,Ford Kuga 2019
300000,2012,0,Manual,"El Obour, Al Qalyubia",Natural Gas,Hyundai Verna 2012
630000,2023,12000,Automatic,"Heliopolis, Cairo",Gas,Mitsubishi Attrage 2023
990000,2026,0,Automatic,Hyundai,Gas,Hyundai Elantra 2026
349000,2007,200000,Automatic,Sharqia,Gas,Toyota Yaris 2007
825000,2013,170000,Automatic,"Nasr city, Cairo",Gas,Hyundai Tucson 2013
600000,2009,265000,Automatic,"El Haram, Giza",Diesel,Volkswagen Passat 2009
2350000,2020,65000,Automatic,"Nasr city, Cairo",Gas,Mercedes C 200 2020
930000,2018,200000,Automatic,"Nasr city, Cairo",Gas,Subaru XV 2018
4750000,2024,0,Automatic,Jeep,Gas,Jeep Grand Cherokee 2024
3100000,2020,58000,Automatic,"Sheikh Zayed City, Giza",Gas,Mercedes E 200 2020
699000,2026,0,Automatic,Chery,Gas,Chery Arrizo 5 2026
1950000,2020,90000,Automatic,"Heliopolis, Cairo",Gas,Mercedes C 180 2020
2100000,2024,18000,Automatic,"Heliopolis, Cairo",Gas,Audi Q3 2024
950000,2018,115000,Automatic,"Nasr city, Cairo",Gas,Opel Grandland 2018
530000,2017,195000,Automatic,"Nasr city, Cairo",Gas,Mazda 2 2017
4350000,2026,0,Automatic,Land Rover,Hybrid,Land Rover Range Rover Evoque 2026
600000,2009,265000,Automatic,"El Haram, Giza",Diesel,Volkswagen Passat 2009
825000,2013,170000,Automatic,"Nasr city, Cairo",Gas,Hyundai Tucson 2013
530000,2012,320000,Automatic,Giza,Gas,Nissan Qashqai 2012
680000,2026,0,Automatic,Nissan,Gas,Nissan Sunny 2026
900000,2018,100000,Automatic,"Hadayeq El Maadi, Cairo",Gas,Opel Grandland 2018
600000,2021,45000,Automatic,Alexandria,Gas,Peugeot 301 2021
900000,2025,24000,Automatic,Alexandria,Gas,MG ZS 2025
290000,2008,350000,Manual,"El Agamy, Alexandria",Gas,Volkswagen Suran 2008
1150000,2025,5000,Automatic,Giza,Gas,Haval Jolion Pro 2025
800000,2021,9999,Manual,Luxor,Electric,Audi A5 2021
450000,2017,165000,Automatic,"Hurghada, Red Sea",Diesel,Renault Logan 2017
775000,2024,20000,Automatic,"El Mahalla, Gharbia",Gas,Chery Tiggo 3 2024
4000000,2025,0,Automatic,Mercedes,Electric,Mercedes CL Class 2025
810000,2015,162000,Automatic,Greater Cairo ( Cairo + Giza),Gas,Opel Insignia 2015
870000,2023,78000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Renault Megane 2023
850000,2019,70000,Automatic,"Nasr city, Cairo",Gas,Mazda 3 2019
6300000,2025,1000,Automatic,"Sheikh Zayed City, Giza",Electric,BMW IX 2025
595000,2021,145000,Automatic,Cairo,Gas,Citroën C Elysee 2021
520000,2013,57003,Automatic,"Sheraton, Cairo",Gas,Kia Picanto 2013
450000,2021,231211,Automatic,Cairo,Gas,Chery Arrizo 5 2021
2825000,2025,0,Automatic,Kia,Hybrid,Kia Carnival MPV 2025
100000,2006,219999,Automatic,Cairo,Diesel,Toyota Yaris 2006
90000,1978,200000,Manual,"Basioun, Gharbia",Diesel,Fiat 132 1978
5300000,2023,10000,Automatic,"Sheikh Zayed City, Giza",Gas,Mercedes GLE 450 2023
800000,2018,80000,Automatic,5th Settlement,Gas,Peugeot 2008 2018
320000,2008,175000,Automatic,Cairo,Gas,Brilliance Galena 2008
6760000,2023,42000,Automatic,"Sheikh Zayed City, Giza",Electric,BMW I7 2023
2950000,2024,5000,Automatic,"Sheikh Zayed City, Giza",Electric,Mercedes EQE 350 2024
900000,2019,150000,Automatic,"6 October, Giza",Gas,Toyota Corolla 2019
1330000,2024,6500,Automatic,Damietta,Gas,Seat Leon 2024
15500000,2025,0,Automatic,Cadillac,Gas,Cadillac Escalade 2025
720000,2021,160000,Automatic,"Nasr city, Cairo",Gas,Chery Tiggo 7 2021
940000,2026,0,Automatic,Geely,Gas,Geely Emgrand 2026
1500000,2022,60000,Automatic,"Sheikh Zayed City, Giza",Electric,Volkswagen ID 6 2022
18100000,2025,0,Automatic,Mercedes,Gas,Mercedes G63 2025
6600000,2026,0,Automatic,Mercedes,Gas,Mercedes Other 2026
2050000,2025,0,Automatic,Cupra,Gas,Cupra Terramar 2025
2300000,2026,0,Automatic,Cupra,Gas,Cupra Terramar 2026
3575000,2025,0,Automatic,Mercedes,Gas,Mercedes C 180 2025
160000,2007,330000,Automatic,"Maadi, Cairo",Gas,Speranza A516 2007
650000,2022,85000,Automatic,Asyut,Gas,Changan CS 15 2022
900000,2021,43000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Nissan Qashqai 2021
1085000,2021,68500,Automatic,Cairo,Diesel,MG HS 2021
1300000,2020,80000,Automatic,"Al Shorouk, Cairo",Diesel,Peugeot 5008 2020
3950000,2024,0,Automatic,Mercedes,Diesel,Mercedes V 250 2024
2750000,2024,12000,Automatic,"El Katameya, Cairo",Gas,BMW 320 2024
720000,2021,134000,Automatic,"6 October, Giza",Gas,Renault Duster 2021
1990000,2026,0,Automatic,Opel,Gas,Opel Grandland 2026
665000,2017,0,Automatic,Hyundai,Diesel,Hyundai Elantra HD 2017
770000,2022,60000,Automatic,Cairo,Gas,Jac J7 2022
335000,2009,0,Manual,Cairo,Gas,Nissan Sunny 2009
38000,1984,0,Manual,"Al Marj, Cairo",Gas,Fiat 127 1984
1750000,2020,68000,Automatic,"Maadi, Cairo",Gas,Skoda Kodiaq 2020
3600000,2021,103000,Automatic,Cairo,Gas,Mercedes E 300 2021
2100000,2019,105000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Mercedes C 180 2019
580000,2010,157000,Automatic,"Tanta, Gharbia",Diesel,Kia Cerato 2010
1050000,2022,92000,Automatic,"6 October, Giza",Gas,Hyundai Elantra CN7 2022
3275000,2025,4700,Automatic,Alexandria,Gas,BMW X2 2025
1150000,2010,190000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,BMW 750 2010
1590000,2021,94000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Volvo XC 40 2021
680000,2008,270000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Volkswagen Passat 2008
620000,2009,215000,Automatic,Faiyum,Gas,Volkswagen Jetta 2009
560000,2007,240000,Automatic,Faiyum,Gas,Toyota Corolla 2007
580000,2009,195000,Automatic,Faiyum,Gas,Toyota Corolla 2009
475000,2019,80000,Automatic,"Heliopolis, Cairo",Gas,Nissan Sunny 2019
590000,2011,200000,Automatic,Cairo,Gas,Skoda Fantasia 2011
3750000,2026,0,Automatic,Mercedes,Electric,Mercedes E 200 2026
155000,2006,183000,Manual,"Borg el arab, Alexandria",Gas,Chery A11 2006
600000,2012,250000,Manual,"Obour City, Cairo",Diesel,Chevrolet N-Series 2012
9876546,2026,0,Automatic,Haval,Diesel,Haval Dargo 2026
1100000,2007,148000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Mercedes C 200 2007
1445000,2026,0,Automatic,Seat,Gas,Seat Leon 2026
865000,2026,0,Automatic,Baic,Gas,Baic U5 plus 2026
870000,2008,240000,Automatic,"Nasr city, Cairo",Gas,BMW 740 2008
805000,2026,0,Automatic,Renault,Gas,Renault Kardian 2026
780000,2026,0,Automatic,Nissan,Gas,Nissan Sunny 2026
680000,2026,0,Automatic,Renault,Gas,Renault Taliant 2026
870000,2021,84000,Automatic,"Nasr city, Cairo",Gas,Hyundai Elantra 2021
683568,2026,0,Automatic,Chery,Gas,Chery Arrizo 5 2026
9876546,2026,0,Automatic,Haval,Diesel,Haval Dargo 2026
590000,2016,121000,Automatic,"Maadi, Cairo",Gas,Kia Cerato 2016
600000,2012,250000,Manual,"Obour City, Cairo",Diesel,Chevrolet N-Series 2012
265000,2004,165000,Manual,"6 October, Giza",Gas,Kia Rio 2004
350000,2000,0,Manual,Ismailia,Gas,Skoda Octavia A4 2000
1375000,2022,117500,Automatic,5th Settlement,Gas,Opel Grandland 2022
190000,1998,217,Automatic,"El Bagour, Monufia",Gas,Hyundai Accent 1998
425000,2014,212000,Automatic,El Minya,Gas,Nissan Sunny 2014
1750000,2021,77000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Skoda Kodiaq 2021
450000,2007,370000,Automatic,5th Settlement,Gas,Volkswagen Jetta 2007
570000,2016,130000,Automatic,"Hadaeq Al Qubbah, Cairo",Gas,Suzuki Sx4 2016
550000,2012,256000,Automatic,"Hurghada, Red Sea",Gas,Mitsubishi Lancer Puma 2012
1075000,2018,120000,Automatic,"Maadi, Cairo",Gas,BMW 320 2018
650000,2011,139000,Automatic,"El Zawya El Hamraa, Cairo",Gas,Kia Carens 2011
630000,2013,98000,Automatic,Kafr El Cheik,Gas,Kia Cerato 2013
770000,2020,80000,Automatic,"6 October, Giza",Gas,Fiat Tipo 2020
1850000,2015,147000,Automatic,"Sheikh Zayed City, Giza",Gas,BMW 528 2015
490000,2015,150000,Automatic,Cairo,Gas,Kia Picanto 2015
285000,2007,213000,Manual,Cairo,Gas,Hyundai Verna 2007
450000,2009,0,Automatic,Cairo,Hybrid,Hyundai Accent 2009
520000,2016,39500,Automatic,Cairo,Gas,Chevrolet Aveo 2016
850000,2022,105000,Automatic,Kafr El Cheik,Gas,Kia Grand Cerato 2022
210000,2000,330000,Manual,Dakahlia,Gas,Mitsubishi Lancer Crystala 2000
525000,2009,260000,Automatic,Kafr El Cheik,Diesel,Mitsubishi Lancer EX Shark 2009
170000,1999,450000,Manual,El-Arish,Gas,Daewoo Lanos 1999
1050000,2024,5,Automatic,"Nasr city, Cairo",Gas,Suzuki Ertiga 2024
760000,2025,2150,Automatic,Alexandria,Gas,Nissan Sunny 2025
370000,2005,290000,Automatic,"Mansoura, Dakahlia",Gas,Mitsubishi Lancer Puma 2005
980000,2018,133000,Automatic,Giza,Gas,Citroën Ds5 2018
550000,2018,225000,Automatic,Cairo,Gas,Fiat Tipo 2018
