Price,Year,Mileage_in_KM,Transmission,City,Fuel_Type,Title
3290000,2023,0,Automatic,Mercedes,Gas,Mercedes C 180 2023
695000,2012,102000,Automatic,"Nasr city, Cairo",Gas,Hyundai Avante 2012
4800000,2024,10000,Automatic,"Sheikh Zayed City, Giza",Gas,Mercedes GLC 300 2024
3100000,2024,10000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Mercedes C 180 2024
11500000,2025,0,Automatic,Mercedes,Gas,Mercedes GT 43 2025
17500000,2024,0,Automatic,Mercedes,Gas,Mercedes Maybach 2024
4400000,2023,35000,Automatic,"6 October, Giza",Diesel,Mercedes V 250 2023
1450000,2025,0,Automatic,Jetour,Diesel,Jetour Dashing 2025
1450000,2025,0,Automatic,Jetour,Diesel,Jetour Dashing 2025
5550000,2026,0,Automatic,Mercedes,Gas,Mercedes GLC 300 2026
2200000,2023,14000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Honda Accord 2023
1075000,2022,120000,Automatic,"Sheikh Zayed City, Giza",Gas,Toyota Corolla 2022
915000,2022,90000,Automatic,Alexandria,Gas,Haval H6 2022
635000,2020,720000,Automatic,Alexandria,Gas,MG 5 2020
670000,2010,106000,Automatic,Cairo,Gas,Kia Forte 2010
55000,1986,2000,Manual,"El Salam City, Cairo",Gas,Fiat 128 1986
1,2016,78000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Citroën C4 Picasso 2016
500000,2009,200000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Ford Focus 2009
320000,2015,420000,Manual,Cairo,Gas,Byd F3 2015
550000,2016,130000,Automatic,"Dokki, Giza",Gas,Chevrolet Cruze 2016
225000,2015,309000,Manual,"El Mahalla, Gharbia",Gas,Geely EC7 2015
570000,2007,109000,Automatic,Faiyum,Gas,Hyundai Avante 2007
530000,2013,205000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Kia Picanto 2013
280000,,,,Beni Suef,,Geely Emgrand 7 2014
140000,2000,270000,Manual,"Mohandessin, Giza",Gas,Hyundai Accent 2000
1020000,2022,90000,Automatic,Cairo,Gas,Hyundai Elantra CN7 2022
150000,2014,36000,Manual,Alexandria,Gas,Lada 2107 2014
770000,2020,129000,Automatic,"Sheikh Zayed City, Giza",Gas,Nissan Sentra 2020
330000,2004,300000,Automatic,Cairo,Gas,Mitsubishi Lancer 2004
1630000,2024,31000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Citroën C5 Aircross 2024
500000,2019,163000,Automatic,"El Haram, Giza",Gas,Chevrolet Optra 2019
2030000,2024,18500,Automatic,"Maadi, Cairo",Gas,Peugeot 408 2024
315000,2018,46000,Manual,"6 October, Giza",Gas,Suzuki Van 2018
250000,2013,63000,Manual,Alexandria,Gas,Speranza A113 2013
195000,2009,110000,Automatic,Qena,Gas,Great Wall Peri 2009
349000,2011,270000,Manual,Kafr el-Sheikh,Gas,Hyundai Verna 2011
580000,2022,126000,Automatic,Alexandria,Gas,Nissan Sunny 2022
160000,2008,159000,Manual,"Agamy, Alexandria",Gas,Speranza A113 2008
400000,2014,163000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Nissan Sunny 2014
195000,2015,75000,Manual,"Pyramids Gardens, Giza",Gas,Changan Benni 2015
800000,2017,141000,Automatic,Sohag,Gas,Peugeot 3008 2017
1100000,2012,200000,Automatic,"Nasr city, Cairo",Gas,Mercedes C 180 2012
3350000,2021,3000,Automatic,"Nasr city, Cairo",Gas,Mercedes GLC 200 2021
1750000,2015,13000,Automatic,"Heliopolis, Cairo",Gas,Mercedes GLA 200 2015
4950000,2024,9000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Land Rover Velar 2024
6900000,2026,0,Automatic,Mercedes,Gas,Mercedes Viano 2026
1925000,2026,0,Automatic,Opel,Gas,Opel Grandland 2026
875000,2026,0,Automatic,Chery,Gas,Chery Tiggo 4 Pro 2026
1590000,2025,0,Automatic,Toyota,Gas,Toyota BZ3 2025
1460000,2026,0,Automatic,Nissan,Gas,Nissan Qashqai 2026
220000,2001,199000,Manual,"10th of Ramadan, Cairo",Gas,Kia Sephia 2001
640000,2025,50000,Automatic,Cairo,Gas,Chery Arrizo 5 2025
320000,2013,212000,Automatic,"Mokattam, Cairo",Gas,Brilliance FSV 2013
950000,2015,158000,Automatic,"Mokattam, Cairo",Gas,Kia Carens 2015
1170000,2012,200000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,BMW X3 2012
650000,2016,173000,Automatic,Alexandria,Gas,Mazda 3 2016
375000,2013,81000,Manual,"Madinaty, Cairo",Gas,Kia Picanto 2013
450000,2016,250000,Automatic,"Imbaba, Giza",Gas,Changan V7 2016
510000,2019,104000,Automatic,"Nasr city, Cairo",Gas,Chevrolet Optra 2019
450000,2004,275000,Automatic,"Obour City, Cairo",Gas,Hyundai Avante 2004
400000,2008,117000,Manual,Gharbia,Gas,Skoda Octavia A4 2008
65000,1990,13000,Manual,Cairo,Gas,Fiat 128 1990
580000,2015,328000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Mazda 3 2015
680000,2009,221000,Automatic,Alexandria,Gas,Honda Civic 2009
120000,,,,Cairo,,Renault Clio 1996
