property_id,status,description,location,branding
8550537097,for_sale,"{""baths_consolidated"": ""2.5"", ""baths_max"": null, ""baths_min"": null, ""beds"": 4, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 5336, ""name"": null, ""sold_date"": ""2015-10-30"", ""sold_price"": null, ""sqft"": 2678, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.627424, ""lon"": -95.394181}, ""line"": ""1546 Kew Garden Dr"", ""postal_code"": ""77047"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1546%20Kew%20Garden%20Dr%2C%20Houston%2C%20TX%2077047&size=640x480&source=outdoor&signature=jmJN_rC7xwnKz13k0aWMtl6v3Zo=""}","[{""name"": ""Keller Williams Memorial"", ""photo"": null, ""type"": ""Office""}]"
7994079905,for_sale,"{""baths_consolidated"": ""2"", ""baths_max"": null, ""baths_min"": null, ""beds"": 2, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 64904, ""name"": null, ""sold_date"": ""2017-12-14"", ""sold_price"": null, ""sqft"": 1370, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": ""condo"", ""type"": ""condos""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.735815, ""lon"": -95.465254}, ""line"": ""5150 Hidalgo St Unit 1403"", ""postal_code"": ""77056"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5150%20Hidalgo%20St%20Unit%201403%2C%20Houston%2C%20TX%2077056&size=640x480&source=outdoor&signature=2cbn4KmIW0mZLp3jK1OUX1DCUk4=""}","[{""name"": ""CLARK REALTY"", ""photo"": null, ""type"": ""Office""}]"
7913174841,for_sale,"{""baths_consolidated"": ""2.5"", ""baths_max"": null, ""baths_min"": null, ""beds"": 4, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 9361, ""name"": null, ""sold_date"": null, ""sold_price"": null, ""sqft"": 2301, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.981169, ""lon"": -95.503777}, ""line"": ""5118 Lawn Arbor Dr"", ""postal_code"": ""77066"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5118%20Lawn%20Arbor%20Dr%2C%20Houston%2C%20TX%2077066&size=640x480&source=outdoor&signature=29Ezozu2fXgQqoHN0xdLNvjKIxA=""}","[{""name"": ""Aplomb Real Estate"", ""photo"": null, ""type"": ""Office""}]"
7066689900,for_sale,"{""baths_consolidated"": ""2"", ""baths_max"": null, ""baths_min"": null, ""beds"": 2, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 242194, ""name"": null, ""sold_date"": ""1998-11-13"", ""sold_price"": null, ""sqft"": 1080, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": ""condo"", ""type"": ""condos""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.675187, ""lon"": -95.535252}, ""line"": ""9090 S Braeswood Blvd Apt 60"", ""postal_code"": ""77074"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9090%20S%20Braeswood%20Blvd%20Apt%2060%2C%20Houston%2C%20TX%2077074&size=640x480&source=outdoor&signature=gj9BLeKlepSqjt6ULK_4CISC6k8=""}","[{""name"": ""Trust Real Estate"", ""photo"": null, ""type"": ""Office""}]"
8667688502,for_sale,"{""baths_consolidated"": null, ""baths_max"": null, ""baths_min"": null, ""beds"": null, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 3485, ""name"": null, ""sold_date"": ""2024-12-11"", ""sold_price"": null, ""sqft"": null, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""land""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.80261, ""lon"": -95.318341}, ""line"": ""4612 Pickfair B St"", ""postal_code"": ""77026"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4612%20Pickfair%20B%20St%2C%20Houston%2C%20TX%2077026&size=640x480&source=outdoor&signature=ijNG8tVKWvAVAOroPWbCPSWJDgo=""}","[{""name"": ""Compass RE Texas LLC - The Heights"", ""photo"": null, ""type"": ""Office""}]"
7690332299,for_sale,"{""baths_consolidated"": ""3.5+"", ""baths_max"": null, ""baths_min"": null, ""beds"": 5, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 19001, ""name"": null, ""sold_date"": ""2018-05-16"", ""sold_price"": null, ""sqft"": 4224, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 30.024607, ""lon"": -95.461527}, ""line"": ""1526 Sweet Grass Trl"", ""postal_code"": ""77090"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1526%20Sweet%20Grass%20Trl%2C%20Houston%2C%20TX%2077090&size=640x480&source=outdoor&signature=fQSSkbKn5I6SjldRoNxOmg4TYvc=""}","[{""name"": ""Central Metro Realty"", ""photo"": null, ""type"": ""Office""}]"
9122421182,for_sale,"{""baths_consolidated"": null, ""baths_max"": null, ""baths_min"": null, ""beds"": 6, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 7405, ""name"": null, ""sold_date"": null, ""sold_price"": null, ""sqft"": 3438, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""multi_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.656172, ""lon"": -95.349229}, ""line"": ""4929 Wilmington St"", ""postal_code"": ""77033"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4929%20Wilmington%20St%2C%20Houston%2C%20TX%2077033&size=640x480&source=outdoor&signature=zY1ZvrKkfJ4Nnm-oqGqr7b4zR8g=""}","[{""name"": ""Label Group"", ""photo"": null, ""type"": ""Office""}]"
7335737961,for_sale,"{""baths_consolidated"": ""2"", ""baths_max"": null, ""baths_min"": null, ""beds"": 4, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 13525, ""name"": null, ""sold_date"": ""2005-06-27"", ""sold_price"": null, ""sqft"": 1597, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.843176, ""lon"": -95.268988}, ""line"": ""9013 Burl St"", ""postal_code"": ""77028"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9013%20Burl%20St%2C%20Houston%2C%20TX%2077028&size=640x480&source=outdoor&signature=7EcTI-lxaeWZILILLo7S7i-22pI=""}","[{""name"": ""Entera Realty Llc"", ""photo"": null, ""type"": ""Office""}]"
7528824517,for_sale,"{""baths_consolidated"": ""2.5"", ""baths_max"": null, ""baths_min"": null, ""beds"": 4, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 4543, ""name"": null, ""sold_date"": null, ""sold_price"": null, ""sqft"": 2152, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 30.016228, ""lon"": -95.41378}, ""line"": ""22215 Queenbury Hills Dr"", ""postal_code"": ""77073"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=22215%20Queenbury%20Hills%20Dr%2C%20Houston%2C%20TX%2077073&size=640x480&source=outdoor&signature=8qEJ8qTOUg-al7LvTwtmKgaXesw=""}","[{""name"": ""Entera Realty Llc"", ""photo"": null, ""type"": ""Office""}]"
7319868415,for_sale,"{""baths_consolidated"": ""2.5"", ""baths_max"": null, ""baths_min"": null, ""beds"": 5, ""beds_max"": null, ""beds_min"": null, ""lot_sqft"": 6242, ""name"": null, ""sold_date"": ""2005-12-29"", ""sold_price"": null, ""sqft"": 3642, ""sqft_max"": null, ""sqft_min"": null, ""sub_type"": null, ""type"": ""single_family""}","{""address"": {""city"": ""Houston"", ""coordinate"": {""lat"": 29.838209, ""lon"": -95.279802}, ""line"": ""8107 Richland Dr"", ""postal_code"": ""77028"", ""state"": ""Texas"", ""state_code"": ""TX""}, ""county"": {""fips_code"": ""48201"", ""name"": ""Harris""}, ""street_view_url"": ""https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8107%20Richland%20Dr%2C%20Houston%2C%20TX%2077028&size=640x480&source=outdoor&signature=Ynk-sTAl7zGzJHY1AGCJyhSMSiI=""}","[{""name"": ""Nextgen Real Estate Properties"", ""photo"": null, ""type"": ""Office""}]"
