Price,Year,Mileage_in_KM,Transmission,City,Fuel_Type,Title
2400000,2019,39000,Automatic,"Sheikh Zayed City, Giza",Diesel,Mercedes E 180 2019
3800000,2026,0,Automatic,Kia,Gas,Kia Carnival 2026
1540000,2025,0,Automatic,Byd,Electric,Byd Song Plus 2025
2350000,2018,68000,Automatic,"Nasr city, Cairo",Gas,Jeep Grand Cherokee 2018
1760000,2018,130000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Jaguar F-Pace 2018
4700000,2024,9000,Automatic,"Nasr city, Cairo",Gas,Mercedes A 200 2024
5900000,2023,5000,Automatic,"Nasr city, Cairo",Gas,Mercedes GLE 450 2023
2700000,2025,0,Automatic,Audi,Electric,Audi Q5 E-Tron 2025
6200000,2021,6000,Automatic,"Nasr city, Cairo",Gas,Land Rover Range Rover Sport 2021
140000,1994,0,Manual,"El Salam City, Cairo",Gas,Seat Ibiza 1994
2000000,2022,35000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Skoda Kodiaq 2022
4400000,2023,20000,Automatic,"Nasr city, Cairo",Gas,Mercedes GLC 200 2023
699999,2013,120000,Automatic,Dakahlia,Gas,Kia Soul 2013
490000,2016,305000,Automatic,"Nasr city, Cairo",Gas,Renault Fluence 2016
620000,2016,137000,Automatic,"El Katameya, Cairo",Gas,Seat Toledo 2016
850000,2013,382000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Audi A5 2013
450000,2011,159000,Automatic,Faiyum,Gas,Nissan Sunny 2011
1075000,2022,120000,Automatic,"Sheikh Zayed City, Giza",Gas,Toyota Corolla 2022
915000,2022,90000,Automatic,Alexandria,Gas,Haval H6 2022
2200000,2023,14000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Honda Accord 2023
635000,2020,720000,Automatic,Alexandria,Gas,MG 5 2020
345000,2016,128000,Manual,"Tagamo3 - New Cairo, Cairo",Gas,Renault Logan 2016
1780000,2025,0,Automatic,Peugeot,Gas,Peugeot 3008 2025
1780,2025,0,Automatic,Peugeot,Gas,Peugeot 3008 2025
750000,2018,87000,Automatic,"Nasr city, Cairo",Gas,Opel Crossland 2018
1360000,2025,0,Automatic,Mitsubishi,Gas,Mitsubishi Xpander 2025
550000,2021,167000,Automatic,Kafr el-Sheikh,Gas,Nissan Sunny 2021
600000,2012,170000,Automatic,Kafr el-Sheikh,Gas,Kia Carens 2012
4300000,2023,4000,Automatic,"Tanta, Gharbia",Gas,Mercedes E 200 2023
2025000,2025,10000,Automatic,"Tanta, Gharbia",Gas,Peugeot 408 2025
2750000,2023,25000,Automatic,"Tanta, Gharbia",Gas,Mercedes C 180 2023
3300000,2024,25000,Automatic,"Tanta, Gharbia",Gas,Mercedes C 200 2024
1800000,2022,60000,Automatic,"Tanta, Gharbia",Gas,Skoda Superb 2022
570000,2013,290000,Automatic,"Mansoura, Dakahlia",Gas,Kia Cerato Koup 2013
700000,2022,75000,Automatic,"Tala, Monufia",Gas,Jac S3 2022
1550000,2020,40000,Automatic,Alexandria,Gas,Peugeot 5008 2020
225000,1999,180000,Manual,Ismailia,Gas,Daewoo Lanos 1999
550000,2013,7000,Manual,"Heliopolis, Cairo",Gas,Hyundai I10 2013
1900000,2022,44000,Automatic,Giza,Gas,Kia Sportage 2022
3900000,,,,"Tagamo3 - New Cairo, Cairo",,Mercedes C 200 2025
4850000,2024,0,Automatic,Mercedes,Gas,Mercedes GLC 300 2024
1650000,2021,140000,Automatic,"Nasr city, Cairo",Gas,BMW X1 2021
950000,2014,140000,Automatic,"Nasr city, Cairo",Gas,BMW 316 2014
3150000,2024,9000,Automatic,"Tagamo3 - New Cairo, Cairo",Gas,Audi Q3 2024
4700000,2024,780,Automatic,"Mohandessin, Giza",Gas,Jeep Grand Cherokee 2024
1080000,2026,0,Automatic,Jetour,Gas,Jetour X70 2026
1480000,2019,134000,Automatic,"Nasr city, Cairo",Gas,Skoda Kodiaq 2019
1080000,2026,0,Manual,Chevrolet,Diesel,Chevrolet Pickup 2026
1195000,2026,0,Automatic,Toyota,Gas,Toyota Corolla 2026
1550000,2020,40000,Automatic,Alexandria,Gas,Peugeot 5008 2020
1350000,2019,90000,Automatic,"Mohandessin, Giza",Gas,Volkswagen Passat 2019
1400000,2022,74500,Automatic,Cairo,Gas,Skoda Octavia A8 2022
3900000,,,,"Tagamo3 - New Cairo, Cairo",,Mercedes C 200 2025
125000,1999,1000000,Manual,"Badr City, Cairo",Gas,Fiat Shahin 1999
