Price,Year,Mileage_in_KM,Transmission,Fuel_Type,Title,City_standard,Make_extracted,Model_extracted
1500000,2022.0,60000.0,Automatic,Electric,Volkswagen ID 6,Giza,Volkswagen,ID 6
2050000,2025.0,0.0,Automatic,Gas,Cupra Terramar,Unknown,Cupra,Terramar
2300000,2026.0,0.0,Automatic,Gas,Cupra Terramar,Unknown,Cupra,Terramar
160000,2007.0,330000.0,Automatic,Gas,Speranza A516,Cairo,Speranza,A516
650000,2022.0,85000.0,Automatic,Gas,Changan CS 15,Asyut,Changan,CS 15
900000,2021.0,43000.0,Automatic,Gas,Nissan Qashqai,Cairo,Nissan,Qashqai
1085000,2021.0,68500.0,Automatic,Diesel,MG HS,Cairo,MG,HS
2750000,2024.0,12000.0,Automatic,Gas,BMW 320,Cairo,BMW,320
720000,2021.0,134000.0,Automatic,Gas,Renault Duster,Giza,Renault,Duster
1990000,2026.0,0.0,Automatic,Gas,Opel Grandland,Unknown,Opel,Grandland
665000,2017.0,0.0,Automatic,Diesel,Hyundai Elantra HD,Unknown,Hyundai,Elantra HD
770000,2022.0,60000.0,Automatic,Gas,Jac J7,Cairo,Jac,J7
335000,2009.0,0.0,Manual,Gas,Nissan Sunny,Cairo,Nissan,Sunny
38000,1984.0,0.0,Manual,Gas,Fiat 127,Cairo,Fiat,127
1750000,2020.0,68000.0,Automatic,Gas,Skoda Kodiaq,Cairo,Skoda,Kodiaq
2100000,2019.0,105000.0,Automatic,Gas,Mercedes C 180,Cairo,Mercedes,C 180
580000,2010.0,157000.0,Automatic,Diesel,Kia Cerato,Gharbia,Kia,Cerato
1050000,2022.0,92000.0,Automatic,Gas,Hyundai Elantra CN7,Giza,Hyundai,Elantra CN7
1150000,2010.0,190000.0,Automatic,Gas,BMW 750,Cairo,BMW,750
1590000,2021.0,94000.0,Automatic,Gas,Volvo XC 40,Cairo,Volvo,XC 40
680000,2008.0,270000.0,Automatic,Gas,Volkswagen Passat,Cairo,Volkswagen,Passat
620000,2009.0,215000.0,Automatic,Gas,Volkswagen Jetta,Faiyum,Volkswagen,Jetta
560000,2007.0,240000.0,Automatic,Gas,Toyota Corolla,Faiyum,Toyota,Corolla
